MTSS,D,01/09/17,00:00,264.9,2,627,040
MTSS,D,04/09/17,00:00,261.05,2,511,420
MTSS,D,05/09/17,00:00,264.25,3,527,380
MTSS,D,06/09/17,00:00,273.7,4,756,640
MTSS,D,07/09/17,00:00,275.45,2,453,720
MTSS,D,08/09/17,00:00,277.55,2,311,090
MTSS,D,11/09/17,00:00,283.5,2,944,340
MTSS,D,12/09/17,00:00,286.4,2,443,140
MTSS,D,13/09/17,00:00,285.9,2,791,210
MTSS,D,14/09/17,00:00,286.15,2,465,540
MTSS,D,15/09/17,00:00,288,2,767,650
MTSS,D,18/09/17,00:00,286.2,1,994,770
MTSS,D,19/09/17,00:00,292.45,3,017,280
MTSS,D,20/09/17,00:00,291.5,1,704,520
MTSS,D,21/09/17,00:00,288,2,576,030
MTSS,D,22/09/17,00:00,279.45,2,810,880
MTSS,D,25/09/17,00:00,277.55,3,129,470
MTSS,D,26/09/17,00:00,282.35,1,681,150
MTSS,D,27/09/17,00:00,283.85,1,636,200
MTSS,D,28/09/17,00:00,282.85,1,884,350
MTSS,D,29/09/17,00:00,282.05,2,185,580
MTSS,D,02/10/17,00:00,279.5,1,171,170
MTSS,D,03/10/17,00:00,279.7,1,598,660
MTSS,D,04/10/17,00:00,278.5,805,400
MTSS,D,05/10/17,00:00,278.6,1,161,450
MTSS,D,06/10/17,00:00,278.45,1,683,090
MTSS,D,09/10/17,00:00,282.8,2,169,330
MTSS,D,10/10/17,00:00,283,2,790,140
MTSS,D,11/10/17,00:00,291.95,2,960,970
MTSS,D,12/10/17,00:00,282.5,1,786,030
MTSS,D,13/10/17,00:00,283.7,1,934,730
MTSS,D,16/10/17,00:00,283.5,1,128,350
MTSS,D,17/10/17,00:00,282.3,1,610,230
MTSS,D,18/10/17,00:00,286.1,1,344,970
MTSS,D,19/10/17,00:00,281.55,1,242,320
MTSS,D,20/10/17,00:00,281.15,1,223,840
MTSS,D,23/10/17,00:00,280.75,1,187,790
MTSS,D,24/10/17,00:00,284.2,818,170
MTSS,D,25/10/17,00:00,284.15,1,180,980
MTSS,D,26/10/17,00:00,282.55,1,077,200
MTSS,D,27/10/17,00:00,283.4,1,526,140
MTSS,D,30/10/17,00:00,282.6,908,910
MTSS,D,31/10/17,00:00,281.5,1,050,020
MTSS,D,01/11/17,00:00,287.75,3,606,690
MTSS,D,02/11/17,00:00,281.6,1,737,050
MTSS,D,03/11/17,00:00,286.2,859,480
MTSS,D,07/11/17,00:00,291.8,2,540,800
MTSS,D,08/11/17,00:00,287.8,1,147,320
MTSS,D,09/11/17,00:00,288.5,1,465,230
MTSS,D,10/11/17,00:00,292.95,1,722,930
MTSS,D,13/11/17,00:00,295.95,1,515,340
MTSS,D,14/11/17,00:00,294.5,1,205,630
MTSS,D,15/11/17,00:00,284.2,1,648,890
MTSS,D,16/11/17,00:00,280.55,1,715,020
MTSS,D,17/11/17,00:00,283,685,660
MTSS,D,20/11/17,00:00,283,355,150
MTSS,D,21/11/17,00:00,284.3,513,280
MTSS,D,22/11/17,00:00,280.3,1,053,480
MTSS,D,23/11/17,00:00,283.1,509,380
MTSS,D,24/11/17,00:00,288.7,1,411,840
MTSS,D,27/11/17,00:00,285.9,523,380
MTSS,D,28/11/17,00:00,284,687,890
MTSS,D,29/11/17,00:00,282,525,940
MTSS,D,30/11/17,00:00,284.55,1,295,640
MTSS,D,01/12/17,00:00,277.4,723,410
MTSS,D,04/12/17,00:00,266,2,646,520
MTSS,D,05/12/17,00:00,264,1,194,250
MTSS,D,06/12/17,00:00,264.9,3,659,380
MTSS,D,07/12/17,00:00,248,7,091,690
MTSS,D,08/12/17,00:00,246.4,3,913,780
MTSS,D,11/12/17,00:00,252.9,2,563,870
MTSS,D,12/12/17,00:00,253.15,2,888,180
MTSS,D,13/12/17,00:00,250.85,2,010,730
MTSS,D,14/12/17,00:00,256.2,1,334,390
MTSS,D,15/12/17,00:00,266,3,058,290
MTSS,D,18/12/17,00:00,263,4,542,710
MTSS,D,19/12/17,00:00,262.15,2,944,400
MTSS,D,20/12/17,00:00,260.6,2,094,720
MTSS,D,21/12/17,00:00,269,3,246,260
MTSS,D,22/12/17,00:00,271.4,2,282,020
MTSS,D,25/12/17,00:00,285.5,1,842,300
MTSS,D,26/12/17,00:00,281.25,661,440
MTSS,D,27/12/17,00:00,280.5,1,654,330
MTSS,D,28/12/17,00:00,279.9,596,570
MTSS,D,29/12/17,00:00,276,697,860
MTSS,D,03/01/18,00:00,275.5,1,552,570
MTSS,D,04/01/18,00:00,282.1,1,848,680
MTSS,D,05/01/18,00:00,281.35,836,860
MTSS,D,09/01/18,00:00,283.05,1,436,690
MTSS,D,10/01/18,00:00,284.45,1,274,790
MTSS,D,11/01/18,00:00,293,2,659,010
MTSS,D,12/01/18,00:00,294.3,1,557,830
MTSS,D,15/01/18,00:00,294.7,1,256,510
MTSS,D,16/01/18,00:00,290,1,463,390
MTSS,D,17/01/18,00:00,287.05,1,605,850
MTSS,D,18/01/18,00:00,288.6,881,600
MTSS,D,19/01/18,00:00,292.2,816,360
MTSS,D,22/01/18,00:00,295.7,1,631,890
MTSS,D,23/01/18,00:00,301.9,2,373,630
MTSS,D,24/01/18,00:00,299.85,2,502,770
MTSS,D,25/01/18,00:00,305.3,2,181,840
MTSS,D,26/01/18,00:00,306.9,1,550,780
MTSS,D,29/01/18,00:00,303.8,1,535,750
MTSS,D,30/01/18,00:00,303.35,984,450
MTSS,D,31/01/18,00:00,309,1,597,760
MTSS,D,01/02/18,00:00,311.5,2,124,160
MTSS,D,02/02/18,00:00,304.4,1,496,250
MTSS,D,05/02/18,00:00,304.55,2,380,230
MTSS,D,06/02/18,00:00,302.75,3,026,640
MTSS,D,07/02/18,00:00,301,1,531,650
MTSS,D,08/02/18,00:00,295.75,1,525,510
MTSS,D,09/02/18,00:00,294,2,933,480
